1200 5000
111 65 28
709 128 12
1096 189 11
312 593 22
124 292 19
317 1179 44
382 1034 12
17 151 28
752 796 46
142 518 46
1077 261 10
983 607 27
318 729 27
142 627 40
1020 96 4
138 823 14
532 962 24
1130 424 10
806 321 20
181 479 46
905 1139 6
561 887 40
630 425 8
442 117 39
724 930 25
995 1017 2
54 517 21
200 798 19
679 170 14
1022 947 30
70 335 3
261 1134 14
767 709 5
853 353 42
87 19 13
133 37 28
249 319 5
446 527 16
154 610 23
877 187 28
743 171 1
688 60 36
542 376 38
555 302 12
738 288 20
522 518 44
272 655 30
1146 770 19
959 795 18
702 903 34
1141 483 10
828 713 33
786 972 29
235 428 31
139 658 31
448 648 43
1118 1169 36
22 716 36
612 736 48
584 792 29
893 102 26
916 1055 18
604 1147 41
936 1024 41
642 38 49
837 180 16
113 541 41
251 436 15
839 1032 47
608 738 26
952 68 48
49 470 3
257 438 15
337 912 17
495 1142 22
457 229 46
922 105 23
853 222 38
139 408 22
854 200 34
1188 390 26
107 845 13
893 613 15
1182 565 44
1102 1000 31
619 542 27
265 267 43
952 614 20
120 1011 8
1179 612 16
454 506 48
1114 976 7
492 896 25
1017 322 35
103 958 39
493 229 27
825 833 8
1193 538 35
231 1135 20
913 600 17
99 206 43
361 735 5
671 484 22
201 16 32
489 1014 13
277 317 42
712 1081 40
993 644 9
522 969 22
167 548 15
1110 731 11
387 847 39
653 718 12
782 873 20
591 825 3
82 912 42
860 386 11
1068 939 35
687 1050 42
1182 300 3
1033 167 5
180 318 18
873 982 11
591 1092 18
992 999 39
842 798 46
310 714 47
1166 262 33
191 1068 28
952 829 40
366 461 24
890 1140 3
870 611 23
1045 375 9
1079 289 31
132 1053 14
402 1197 43
899 167 40
1051 1123 1
229 1093 1
1051 252 7
779 501 27
203 799 42
1176 1112 44
980 748 23
833 709 36
263 7 35
1161 180 10
594 10 42
850 469 12
572 170 2
431 47 46
462 315 29
337 743 21
917 882 4
236 435 16
1192 305 40
563 20 26
646 80 18
827 653 2
747 169 47
995 822 7
904 550 20
768 732 38
892 162 37
1120 661 30
830 305 9
484 10 25
587 1013 17
268 739 23
971 501 4
385 614 46
72 696 36
329 387 38
293 1199 42
677 187 15
270 1119 49
446 901 14
718 302 16
971 990 24
472 1065 43
29 978 18
765 449 13
548 917 31
1066 994 5
961 518 1
642 907 44
379 303 40
889 666 49
1003 324 33
625 1151 43
293 132 16
910 1103 36
876 300 13
533 945 46
266 174 2
438 473 5
322 1191 10
697 61 35
388 774 44
685 1008 8
504 663 6
1069 797 26
347 898 20
857 179 32
117 905 46
544 1116 34
1014 518 7
1133 1057 24
586 297 32
412 1027 42
1167 110 2
23 298 31
645 407 9
257 100 22
462 740 42
337 55 9
364 620 15
655 710 24
140 74 25
278 14 47
637 299 2
501 685 21
403 1087 2
58 429 34
452 274 31
448 412 16
916 493 49
950 517 8
