1600 5000
1320 1222 8
7 838 19
813 1526 48
980 1266 30
179 978 30
583 956 25
768 243 20
548 1096 16
1117 376 37
89 437 31
1078 506 11
788 1430 38
555 1533 16
434 1530 26
325 1001 34
1233 48 15
528 833 10
1327 281 43
1487 224 3
730 980 31
473 1179 37
22 164 49
1298 1536 4
514 736 3
498 1014 13
1489 1204 27
1576 629 1
186 677 13
553 130 27
506 1025 18
955 1297 48
420 164 5
654 766 13
542 438 13
94 627 1
1203 1321 15
167 558 34
176 1557 23
826 33 27
360 5 15
1590 458 48
528 305 34
619 280 41
860 571 9
715 631 15
1255 108 47
1452 170 8
237 1048 49
1189 1419 6
562 735 33
34 121 49
657 1556 35
991 1554 44
825 266 43
281 160 9
1392 591 19
768 807 6
343 963 9
552 916 32
1591 681 22
1205 44 14
1394 74 38
1275 265 30
1482 1347 46
580 1238 35
1254 515 12
601 722 43
843 636 36
520 303 10
693 156 31
919 420 15
1377 798 37
630 317 4
746 119 20
717 1409 43
1390 54 21
874 449 32
1100 1349 27
114 1376 28
917 1274 12
791 408 15
1592 292 48
996 866 20
1445 344 39
7 931 25
1582 758 44
1473 262 18
1530 808 43
1583 1099 45
686 1525 37
1016 968 15
251 104 28
927 624 20
511 601 10
516 1143 31
1307 1510 32
1119 235 6
593 1327 32
1132 325 5
553 841 2
72 1080 39
763 986 12
8 434 19
29 128 49
1024 1536 47
255 380 46
928 771 15
1400 1156 18
1185 972 19
1179 22 4
1101 246 17
1545 1039 29
1573 1208 49
1493 610 43
750 19 45
1537 1566 16
806 1539 2
617 1523 10
1519 740 41
1330 433 30
163 611 3
1185 573 34
352 852 2
793 918 2
61 1432 20
1057 1569 37
1294 698 42
1115 1384 25
1251 1488 35
33 419 11
1363 1373 36
246 1455 41
1374 769 40
271 10 19
1415 6 42
143 701 19
393 838 25
164 1235 7
1422 514 1
76 1486 35
793 332 30
647 678 46
295 851 27
1316 1011 9
666 827 31
501 344 22
127 646 11
1246 1063 30
954 1010 45
1043 1265 13
975 295 33
1011 504 34
1443 2 23
1266 1140 24
157 985 36
1476 876 5
50 232 33
1555 1288 15
970 703 3
1087 1036 7
1181 1309 8
1200 315 16
279 181 44
1381 834 9
1285 1227 34
359 31 21
866 443 18
1587 751 24
1193 3 12
199 514 30
1035 25 7
1411 945 33
978 1424 36
1149 29 38
571 311 25
212 330 42
893 384 31
115 727 26
1397 63 19
1265 630 41
1300 223 9
1162 178 42
77 679 4
256 495 26
17 1036 4
279 1124 30
394 341 32
8 1328 45
1098 1100 45
1232 430 37
987 1386 22
1191 335 47
868 997 12
629 1441 47
1096 930 8
127 469 38
171 334 44
582 1267 32
916 862 22
999 1524 11
1267 359 5
1394 825 35
938 504 26
1295 1147 17
1264 570 28
883 116 28
1257 1356 2
951 1215 35
715 1086 48
866 427 5
849 711 5
920 612 20
275 965 26
1569 22 24
844 501 8
211 856 10
98 1268 44
1581 1360 42
464 1157 2
445 694 49
598 115 40
985 1256 41
295 414 47
769 740 39
1250 626 15
56 1024 40
1322 958 35
545 581 19
455 1422 38
739 407 36
393 1363 25
273 1218 5
1365 877 4
140 629 10
1512 145 1
762 768 29
1495 1143 46
66 108 44
154 1575 35
958 585 45
1181 19 2
182 1402 12
1376 1069 48
1392 166 10
153 1578 8
1480 1259 25
633 78 6
1442 14 46
1338 1105 12
1353 1276 28
560 1534 27
1493 670 47
1078 68 10
1344 146 41
180 1076 23
1242 178 17
917 319 4
665 1226 1
1067 774 27
1239 652 39
55 531 40
389 850 8
1245 2 11
412 280 45
14 1542 14
1525 1450 27
79 16 42
464 603 39
935 860 24
932 820 25
1463 1227 34
1213 1182 10
803 542 43
579 487 36
256 1447 22
508 23 46
1052 343 15
1421 442 27
454 212 8
183 1345 39
633 539 36
107 927 39
1397 369 4
786 357 3
199 1385 20
960 801 29
1218 282 40
859 221 37
1073 1472 13
1147 515 12
1564 1462 3
116 386 46
1188 189 15
1061 752 1
1306 1002 41
1004 93 36
897 1384 45
1123 1300 22
1393 304 13
533 1389 14
1386 612 42
233 1367 16
1544 332 25
483 832 46
1027 1491 30
159 809 13
278 522 24
1596 1278 17
669 1065 24
347 1552 31
1100 753 2
485 763 9
1079 217 13
148 1057 41
814 482 36
1402 315 31
402 324 25
99 698 46
767 202 26
711 785 18
311 1224 14
808 1232 25
1181 604 45
582 790 5
772 17 44
236 750 20
