800 5000
640 399 49
585 713 44
279 448 11
728 179 24
171 442 9
353 553 32
453 775 17
617 510 46
295 646 31
784 197 23
109 518 44
30 638 19
320 105 34
283 6 1
679 719 33
510 605 11
230 274 14
179 240 8
238 515 39
414 612 45
561 477 40
788 797 4
305 624 22
394 731 27
94 405 6
337 600 35
530 560 45
335 587 5
294 557 13
508 184 42
320 697 39
295 434 30
284 221 5
107 631 17
561 706 44
640 728 1
130 466 43
396 42 15
178 766 35
8 121 35
358 41 43
227 784 41
676 292 25
269 435 12
367 611 39
386 655 13
607 316 41
500 202 45
268 538 27
54 221 10
169 185 21
147 724 46
142 617 16
79 202 3
783 470 20
322 416 24
182 670 30
757 66 46
612 341 23
116 548 33
516 591 22
599 72 35
2 24 10
183 207 46
754 72 12
637 487 37
360 454 3
510 114 4
392 781 35
347 613 28
598 53 40
710 551 29
752 648 9
380 239 23
711 107 16
507 795 8
118 613 35
116 49 46
623 792 3
507 717 12
397 662 33
617 145 47
70 12 19
341 13 18
124 672 9
438 271 11
337 243 23
80 494 22
430 0 14
44 279 46
83 173 35
244 129 33
762 702 33
534 199 47
668 194 48
773 715 9
30 567 33
160 705 42
744 665 22
99 54 40
263 548 9
677 585 19
670 574 19
734 346 39
17 126 9
475 194 12
258 194 26
457 75 11
471 604 23
108 210 39
101 466 46
556 615 31
268 604 32
376 146 34
341 448 36
789 120 35
97 21 18
450 313 5
7 224 33
489 125 13
8 222 40
19 66 42
528 725 27
561 201 14
687 422 5
14 739 36
230 367 39
321 225 28
343 640 25
590 4 3
651 676 32
565 464 33
402 716 15
6 229 2
79 554 33
666 278 23
713 18 10
645 624 8
106 579 48
352 390 13
120 450 49
198 289 13
309 607 38
301 272 42
424 134 32
643 622 45
372 625 48
776 733 10
682 404 5
232 420 36
200 205 11
727 454 43
334 585 14
449 492 25
489 131 27
563 112 48
110 283 43
101 476 8
660 488 12
44 396 11
112 129 28
240 457 39
501 57 44
311 341 2
699 707 24
318 210 35
610 141 39
497 8 42
433 390 25
648 693 3
266 104 14
24 321 23
27 749 4
76 449 10
664 137 17
735 27 29
118 515 18
341 577 25
130 586 9
707 307 48
112 65 11
128 649 25
786 421 28
571 214 13
726 323 13
758 51 15
749 440 12
794 415 42
606 79 25
366 201 17
22 328 46
170 723 31
69 451 23
122 243 2
73 166 35
318 13 5
100 36 24
87 42 10
793 32 44
214 405 49
633 102 13
5 642 28
199 607 34
336 317 25
146 13 14
168 180 9
495 793 33
350 108 36
716 237 34
486 764 6
246 718 11
718 760 16
407 177 26
203 558 12
263 618 11
467 267 24
678 169 6
637 506 15
319 268 16
606 230 29
136 744 30
670 613 25
165 618 20
670 413 29
184 409 33
324 5 40
690 187 18
192 558 37
308 338 29
726 722 37
342 191 42
652 555 25
82 305 31
451 267 7
602 36 3
768 209 47
381 365 2
766 455 31
744 510 1
175 356 14
669 747 49
1 799 35
11 721 10
551 189 39
725 18 48
408 282 3
247 749 48
218 674 25
612 179 42
254 678 45
366 51 4
519 270 7
399 695 8
707 284 23
256 120 25
276 515 26
40 120 11
796 85 44
227 252 4
233 460 40
434 732 15
459 73 6
489 606 38
239 607 30
537 31 6
462 729 48
12 5 46
52 694 24
138 102 4
789 462 5
349 177 22
574 88 26
752 585 10
15 718 26
744 253 31
395 428 1
209 279 38
687 60 42
629 138 49
758 309 5
635 704 19
100 772 25
322 366 26
673 172 48
149 699 35
517 44 29
329 47 18
379 774 11
121 596 20
176 56 16
560 382 47
120 123 28
567 522 8
696 487 18
301 472 40
485 542 49
70 500 24
629 678 28
111 700 27
324 303 31
60 202 4
446 373 17
788 673 18
493 283 14
402 408 21
300 703 8
748 313 26
775 223 24
227 737 34
85 232 31
233 295 1
45 709 34
773 36 31
690 272 16
557 719 35
32 292 4
326 273 21
543 43 37
652 380 19
732 108 33
77 541 47
18 740 27
703 348 48
96 120 34
484 65 3
218 236 9
738 676 35
591 746 4
756 530 40
189 276 13
285 738 43
286 265 18
25 277 49
782 128 41
576 662 37
146 670 22
516 586 38
434 585 12
354 334 20
140 91 21
76 222 29
53 304 33
102 703 15
154 402 31
511 218 39
227 783 13
360 524 18
682 133 11
134 170 34
176 436 2
133 75 26
420 136 27
59 783 15
724 177 36
168 511 31
119 527 21
212 571 48
6 371 23
398 361 14
307 776 20
298 747 1
102 54 14
93 624 32
259 688 36
689 349 2
738 571 13
404 449 46
45 673 25
759 494 31
271 100 45
182 752 17
673 513 36
537 605 32
311 573 9
373 679 42
794 498 38
584 725 29
42 661 21
308 686 27
591 170 4
269 609 2
49 423 9
215 691 15
545 488 26
420 289 37
34 519 48
761 788 47
465 215 8
366 69 42
253 419 20
362 440 14
214 619 36
789 533 14
399 380 14
100 2 48
634 709 45
10 482 9
765 114 9
8 103 24
561 32 32
583 767 15
198 108 41
525 98 4
786 105 40
381 657 7
466 476 24
279 578 8
789 122 44
598 187 37
600 626 30
474 599 23
207 778 40
610 617 21
656 681 46
541 205 38
116 110 30
102 88 20
486 96 9
523 161 41
705 632 21
529 51 26
659 364 29
357 746 35
148 312 33
302 423 31
609 641 37
734 467 8
481 362 23
739 703 13
469 241 22
525 679 3
97 759 4
16 573 42
402 208 45
586 522 2
131 223 19
302 484 17
312 47 12
422 502 25
282 98 32
74 64 39
400 498 49
601 444 37
513 311 38
45 50 8
524 410 15
494 523 44
48 752 19
734 749 28
486 642 43
708 592 23
450 419 14
425 283 47
338 739 42
699 466 17
50 230 39
20 268 12
467 648 13
41 176 44
35 311 26
707 773 18
568 2 22
71 118 25
796 190 49
315 235 30
684 799 29
753 487 11
534 81 22
623 776 49
775 111 44
624 457 3
674 285 10
737 532 39
372 143 8
179 22 2
670 289 29
463 333 18
93 701 14
388 254 11
283 589 47
159 786 46
463 247 8
215 150 31
444 721 10
112 257 44
320 70 29
479 591 26
739 473 23
714 102 17
601 6 21
756 722 29
729 620 22
347 400 39
286 681 14
787 444 37
166 77 7
704 739 3
13 283 38
560 90 45
782 186 14
39 782 18
138 2 21
553 186 23
371 381 10
712 30 43
549 221 28
645 468 46
729 14 48
362 222 15
411 591 21
47 305 30
313 553 46
594 736 22
259 394 26
354 53 25
509 124 12
234 76 2
155 593 49
160 409 31
183 313 31
106 648 49
355 354 7
155 268 36
645 692 28
364 224 28
166 477 45
388 589 43
109 73 32
497 534 10
341 233 7
280 247 4
543 29 1
360 660 15
187 763 24
735 577 3
241 46 4
262 515 6
176 797 48
73 276 29
650 449 29
545 205 48
423 447 9
146 517 39
227 580 15
396 679 6
213 80 46
653 224 10
680 548 40
372 273 39
644 61 24
733 195 33
350 66 27
460 114 26
635 794 24
363 49 36
677 270 11
541 496 25
539 639 2
488 674 17
32 11 20
727 466 18
729 649 39
94 561 24
219 538 36
495 616 36
69 581 25
105 86 17
659 784 49
289 726 16
569 591 29
559 156 36
480 215 27
626 704 32
571 7 14
175 365 47
748 458 17
727 560 17
122 752 22
377 158 6
338 587 4
226 396 12
431 208 48
627 486 23
233 397 15
677 76 33
266 387 19
372 208 10
53 78 34
106 681 15
273 318 45
726 683 5
126 500 6
457 526 25
542 368 8
148 453 24
29 429 18
270 761 35
271 116 13
342 10 8
764 599 46
349 482 37
366 422 5
743 257 29
438 657 43
392 143 3
739 413 28
176 167 29
236 560 34
485 65 2
615 351 31
704 362 7
23 99 7
772 424 13
52 636 14
220 347 3
282 741 49
512 21 32
560 134 49
38 476 22
452 426 1
695 80 19
525 435 7
593 191 42
61 267 26
427 345 12
292 740 43
416 688 3
322 608 11
592 765 32
5 166 49
745 333 2
166 696 12
428 25 6
319 355 27
729 750 7
83 758 47
238 386 34
50 374 22
118 342 40
671 9 3
4 651 21
181 599 37
262 304 38
623 200 8
709 294 28
597 123 33
631 76 46
650 699 11
398 295 36
240 613 48
497 29 21
258 169 48
13 420 36
400 476 4
291 656 30
313 4 46
218 52 1
127 300 46
499 572 31
383 97 39
377 401 17
420 96 49
686 739 29
309 29 30
443 793 29
357 715 11
26 314 17
538 468 6
0 491 18
143 177 44
82 713 43
177 271 6
504 155 17
42 152 5
159 720 36
221 171 16
452 40 3
455 235 44
566 135 46
334 85 43
205 160 30
632 760 6
195 357 45
460 450 28
140 11 14
71 391 28
498 113 7
116 115 12
338 461 35
568 341 27
592 686 7
351 720 21
420 299 8
284 226 18
653 270 45
229 111 24
752 778 18
175 199 8
318 749 48
198 353 16
548 543 37
632 19 45
92 671 42
196 244 34
649 104 46
271 387 35
377 156 3
284 740 1
384 105 14
348 352 23
230 292 32
82 202 19
600 763 42
269 685 12
479 681 8
66 450 42
607 490 49
788 606 7
630 111 27
15 320 11
693 551 24
780 374 9
468 226 34
121 466 49
245 567 45
374 450 27
285 733 46
332 190 13
75 225 5
636 110 40
642 167 25
393 546 20
305 495 23
319 244 47
99 587 15
336 95 16
386 688 36
386 791 16
10 250 21
680 610 40
753 771 40
662 425 31
521 76 21
601 797 41
366 206 13
298 518 27
307 798 16
777 61 48
562 473 2
256 615 41
243 52 8
87 414 15
652 29 25
597 135 40
55 47 26
668 225 14
117 76 22
508 99 42
434 778 14
674 673 11
277 518 19
673 733 11
561 409 40
505 364 27
768 169 9
56 216 38
776 205 13
131 233 1
724 764 6
467 704 34
31 118 36
711 562 19
263 597 37
231 796 8
759 463 15
68 460 48
38 671 6
274 703 2
765 689 41
550 786 31
357 641 38
439 717 3
293 665 13
652 603 32
278 786 26
91 321 25
460 478 28
89 478 42
94 217 37
620 642 48
62 164 8
760 772 23
252 298 42
193 268 4
313 732 36
202 576 19
116 16 8
455 721 39
216 750 39
323 214 8
599 672 20
567 726 22
661 568 1
628 793 26
634 77 30
743 324 13
331 635 49
350 738 36
654 89 17
291 310 22
176 776 32
766 634 31
747 274 21
626 548 37
227 330 23
403 776 43
80 754 20
267 759 11
53 680 42
542 137 33
156 507 3
545 12 21
116 379 29
299 717 12
671 281 2
628 776 46
513 439 30
612 151 18
84 400 4
611 100 15
665 18 21
140 629 25
326 207 3
716 405 43
681 498 36
338 41 28
