2000 5000
1139 1496 7
1922 525 45
84 1125 33
1396 1818 45
1663 630 23
320 1512 35
1185 1481 8
161 209 39
803 650 36
390 1776 42
222 415 46
1435 1825 36
164 1532 34
1105 1957 9
280 1938 47
1645 420 33
389 427 20
358 902 26
917 392 28
1584 1056 43
255 1605 47
1061 965 30
1452 1945 20
1031 21 16
1819 1922 27
1479 704 4
1393 1208 49
384 342 43
712 1976 48
9 632 15
1863 112 38
1231 140 10
828 239 13
1743 1239 16
45 502 48
613 1587 6
1740 1681 43
312 427 24
1930 1455 16
1270 656 14
929 772 8
1666 161 42
970 453 48
5 547 13
1060 1949 8
185 541 34
1545 563 20
406 1337 3
495 124 33
994 1699 42
707 1149 9
1131 495 22
735 385 29
1189 1159 39
1196 915 43
1317 1795 37
327 1109 1
940 693 46
1035 1829 6
374 103 25
1574 1518 10
1 288 38
948 381 47
725 504 16
160 917 8
1091 347 13
1822 1173 23
968 1546 6
1147 1739 1
1031 856 13
1418 414 18
1936 512 44
1882 953 24
1264 972 12
864 557 21
1958 317 15
195 723 23
1582 1378 28
1094 487 37
1137 1004 34
1836 317 23
607 180 37
1470 1234 24
1440 153 31
514 77 47
1499 682 4
1970 1233 2
1290 1098 41
1391 882 31
1529 1871 48
1846 1609 1
1432 691 26
1469 55 37
1522 1382 32
30 1918 15
1636 537 19
284 982 49
93 1539 16
1228 695 13
1257 852 6
1705 1174 35
1664 1953 1
1311 672 18
1906 1673 21
235 1037 33
476 576 10
1907 1538 9
1096 879 20
69 1025 11
870 10 6
1540 1673 16
110 416 18
1864 911 42
841 1200 37
642 1347 17
1046 1075 41
580 1828 27
324 1292 17
881 27 22
1056 1778 34
937 1081 44
27 88 19
1997 1016 17
1896 1700 32
1424 1974 15
1298 958 4
156 1541 7
377 59 35
1420 745 46
164 843 11
736 24 31
1102 876 31
1554 1064 31
773 133 24
1887 1038 11
226 1198 21
942 1082 36
1875 900 13
12 1182 49
30 1271 37
1054 445 36
59 1578 42
874 802 36
1616 228 5
1907 688 29
1833 771 19
1110 1823 7
49 1578 26
1503 427 9
1632 1755 17
1227 131 7
1824 1860 7
175 172 35
675 737 41
1518 765 34
1856 1981 40
1095 1124 28
944 1380 5
502 1900 1
1200 1896 12
1650 1261 36
823 1785 21
1899 441 7
601 1642 12
1086 616 22
1009 1101 38
1311 1577 38
350 996 29
197 1374 6
937 470 30
311 1847 12
257 84 9
1145 521 45
1661 1949 14
1286 1411 10
794 1667 43
1083 226 48
260 952 24
1758 1674 23
451 1471 14
897 1517 20
1920 354 29
791 1298 33
765 1493 19
1804 1611 24
1895 272 11
514 612 49
71 187 47
1615 1131 16
1795 1669 13
920 1897 43
1817 901 8
640 1776 10
260 953 22
970 1208 40
1088 874 17
1255 1210 28
461 406 37
159 1691 30
765 139 1
128 380 17
51 545 35
1368 263 48
746 304 12
1878 492 24
1955 1939 30
894 1434 16
278 1206 4
749 619 44
679 509 10
1287 1153 43
862 780 27
677 253 34
826 747 12
22 289 30
1403 69 24
570 537 22
1610 1672 35
1056 835 23
218 1313 2
1860 494 40
969 93 41
840 283 34
1953 540 30
1758 1334 49
1917 617 23
223 1474 30
1918 1174 36
724 476 45
185 674 6
400 200 1
1056 1251 48
376 1720 34
1931 41 6
1626 1519 11
1592 1126 21
1457 1627 7
1873 63 1
482 605 38
1080 101 30
1084 1182 33
1614 618 24
1785 148 21
395 1640 27
72 1220 16
225 1721 41
255 131 8
466 901 1
1683 1937 48
367 917 36
410 168 37
1961 1735 41
200 188 49
992 593 49
708 1523 25
1233 880 38
1696 840 4
1790 1336 16
940 1777 14
519 1893 2
674 1863 23
330 914 38
1798 1296 4
1787 1573 35
1506 522 36
83 1177 22
1092 1589 15
1937 687 33
1747 1319 39
1020 1613 2
246 665 14
1164 670 36
1894 1978 18
668 157 25
137 736 31
502 1466 36
632 1425 3
1314 1598 18
1177 978 18
964 1086 29
1665 150 24
215 1837 32
1281 1316 32
460 32 42
1247 46 8
1244 1865 37
32 410 11
985 942 43
1856 1275 5
1863 893 7
1790 1827 26
1550 802 19
753 586 18
1282 901 44
724 1988 5
1839 262 47
768 724 31
781 604 15
1499 385 20
857 452 20
1421 1808 10
1525 203 27
1770 216 28
821 840 32
841 1811 10
1288 1766 40
1511 208 32
1652 768 10
673 767 26
1060 1174 4
1397 1075 17
1073 1059 39
1222 949 10
1093 184 25
1719 1811 33
513 1439 11
913 256 17
64 1524 9
1951 1397 13
1173 1871 15
924 1037 47
158 1571 46
1406 1636 13
863 871 33
1794 1033 21
1346 711 20
1366 1520 4
1805 1615 38
1391 1974 35
904 207 13
1264 665 36
1192 45 13
493 652 16
1170 1736 31
1252 1485 15
574 245 13
97 240 33
1592 1921 16
250 655 21
1004 1125 37
98 1556 47
1941 1434 21
1493 1555 9
1311 1332 11
337 1857 25
1024 562 2
1473 1126 35
1309 143 39
1636 1858 4
329 564 3
179 1939 45
569 60 39
1531 1156 8
377 740 25
232 1996 30
721 1671 46
532 1272 8
659 1977 12
1133 1344 32
42 1323 5
1088 851 25
476 1371 25
1125 533 39
956 271 47
1185 752 22
744 1428 10
1902 1205 21
410 313 18
47 182 5
1263 1636 43
556 1473 8
512 1555 46
1508 1693 25
1250 1357 17
1767 863 27
1099 790 19
1885 67 15
588 478 14
769 495 43
1804 103 36
708 964 45
840 1696 35
1234 946 29
433 1451 6
1320 878 44
973 1487 14
273 1874 24
597 1646 14
310 348 34
170 1332 13
442 1416 9
1710 1658 24
1088 1437 28
1489 906 5
1126 1916 19
1530 1884 49
473 485 37
92 410 7
1886 1549 3
614 1087 36
592 256 8
1798 1669 48
1378 793 10
1495 256 3
1304 1194 43
457 234 13
55 1614 10
1596 773 2
1778 648 45
229 1490 5
1092 1875 32
1351 1165 16
1808 634 47
552 1329 4
1163 1925 4
1668 1512 2
1909 1532 40
1875 1711 24
382 1439 46
95 1921 2
1566 1467 18
621 1317 16
359 972 13
1962 1319 28
740 167 18
696 903 42
1453 77 30
343 1856 41
1915 396 20
1509 1787 19
1590 887 35
744 424 31
1903 811 38
87 702 31
1176 1389 11
1503 1183 11
1845 1352 27
1820 784 38
1042 479 5
1995 85 24
1556 1917 29
102 538 31
1063 15 19
158 823 8
590 1276 39
1589 594 12
1378 586 36
1790 810 47
1498 1872 24
1055 648 36
1240 1740 3
378 1750 7
98 1067 9
691 1622 8
1786 1998 35
952 780 33
1480 1440 42
1489 149 39
192 815 43
1994 368 33
1899 803 39
610 852 2
1335 9 44
1570 753 1
1366 381 25
956 1952 7
1652 1479 30
1393 1051 9
1638 1026 19
445 1572 33
647 1500 12
874 517 4
521 1874 15
7 275 30
395 54 7
757 1613 39
1257 271 24
1391 781 14
426 1989 6
1391 1156 48
298 284 32
90 1141 19
608 1007 18
20 803 5
270 630 49
9 501 3
1694 1710 43
660 1824 15
648 803 32
716 1901 5
318 1283 12
758 375 34
371 1021 33
1068 1213 40
726 1223 21
1329 1213 19
1443 113 29
1309 1752 33
1678 1684 1
389 791 21
95 1170 38
586 1706 43
1048 1916 19
705 205 3
1966 1395 12
342 32 44
652 12 13
7 1037 43
588 1396 14
1685 1603 24
777 1107 41
1339 899 38
63 122 31
1929 340 42
1696 652 21
617 924 39
76 179 11
904 1648 43
1064 765 21
1006 296 2
100 1474 27
1036 1222 14
122 315 45
10 1824 37
438 1441 29
296 1077 46
1351 635 29
1549 958 23
1363 72 15
1700 1142 41
335 705 12
87 741 30
1416 899 7
1823 352 41
1517 1631 12
178 1574 15
1171 944 49
1987 275 24
1176 1693 8
1059 1093 28
1660 456 2
869 98 9
649 1404 7
1983 959 1
1176 1664 11
388 30 25
1864 351 45
255 141 46
448 1664 46
1551 1432 43
978 367 20
505 1630 1
571 1915 46
424 1486 37
1549 1756 13
1596 101 19
1910 973 4
946 1595 17
816 1283 10
75 964 44
21 1259 20
288 1329 33
1831 877 38
187 1409 17
1977 1122 47
11 1505 29
917 1650 18
252 1750 14
630 1119 17
1310 261 39
1214 1040 20
1407 1308 45
1246 1075 48
1379 1211 18
65 1116 25
