3200 10000
1381 2432 40
2492 303 15
3109 2909 32
960 1689 16
1193 2616 22
649 1230 12
207 2085 30
2075 126 42
1113 1868 44
2404 2925 43
1047 2906 28
213 2813 15
3120 962 29
1142 2209 14
1295 2488 27
1345 2212 16
922 615 27
2810 2167 28
792 2551 46
1486 199 16
1144 1096 33
111 2493 17
2508 2685 45
651 2304 11
1721 1439 27
487 1452 15
3192 388 2
160 1121 13
1218 2734 47
1622 63 41
2764 3059 16
2360 782 30
1323 2721 46
1759 218 46
2537 2748 9
1013 2585 9
1959 1067 16
2683 1905 35
2970 1207 3
550 2852 26
1094 647 35
2059 1926 19
2234 2633 18
1616 1255 13
720 2109 32
2175 665 42
637 3185 38
1289 598 42
568 480 10
2339 692 48
1663 2231 10
254 1155 44
3077 2268 37
614 835 25
1942 1507 7
2844 1160 4
1844 2615 20
2624 1737 4
2062 2821 36
1726 2009 46
688 2663 14
2927 2326 30
2308 774 46
2298 1322 33
509 574 9
1842 2068 46
1070 2298 11
144 776 4
1972 335 44
2382 1491 36
2733 1302 16
116 1508 37
1218 2362 21
1860 1425 21
857 1745 32
1319 2766 6
828 238 10
825 643 49
280 651 21
1040 1040 9
1501 2456 24
2303 1047 41
2588 1057 4
461 1146 10
2268 2470 8
2255 3082 26
2776 344 32
1515 778 5
2075 2369 34
2368 943 23
122 161 48
2407 141 16
1504 1981 14
1609 563 27
1199 600 48
3115 1361 33
2773 3161 16
817 2672 40
2134 1053 16
2880 2722 22
2233 3138 48
1004 113 27
397 2301 40
2299 741 37
786 2677 24
1813 1965 35
1821 944 38
7 3188 43
2208 2154 36
1723 2631 26
165 1981 25
1512 3072 18
2635 1475 10
3077 2346 4
379 635 48
1253 140 21
1650 838 9
1238 2412 42
2788 3071 34
825 1256 9
3156 919 45
2377 2741 44
1332 1058 42
2999 1342 1
594 2378 33
2060 1485 33
2089 365 16
1842 3061 27
1745 2195 19
1907 2855 22
462 169 23
2241 2989 45
2329 2442 12
2153 1097 1
2220 1259 17
447 2362 30
1100 1580 5
367 3039 23
2686 2178 18
3196 2516 13
2840 1043 45
2112 122 11
2090 1253 27
1595 2281 29
3092 1267 24
1519 907 7
814 2030 30
929 479 33
1425 408 31
2028 800 28
1261 2302 45
2751 1620 8
955 2015 29
626 1604 44
3144 2519 11
55 3194 1
630 337 43
1436 2113 30
2970 1794 38
3054 595 31
2386 2346 43
2916 2807 40
3176 2420 27
5 277 36
785 2751 30
1778 1855 21
2480 1731 38
920 415 29
353 2348 16
2117 554 41
320 1936 33
363 708 15
2196 596 35
324 630 22
577 671 3
3146 2162 23
1807 1359 23
2759 900 44
1347 1587 4
2402 726 35
920 1137 7
3112 311 24
512 2940 31
1049 2501 7
525 1101 17
1334 2306 29
1112 1845 4
422 789 7
1892 691 25
747 1697 1
494 1452 43
712 706 49
2166 2128 12
684 84 46
14 630 27
1900 2263 21
587 929 28
702 2587 31
2757 2583 42
1090 1158 17
3006 959 41
2413 2658 16
896 1983 20
1761 650 22
863 2761 25
3162 97 37
1329 480 34
2140 2919 47
2015 2683 39
1303 866 3
2646 2849 42
957 1794 20
1634 1676 17
2717 1345 46
1033 1802 40
3179 1256 10
1256 493 27
2987 2477 16
2269 2378 39
